건강상태명,설명
아나필락시스,알레르기란 주위 환경에 존재하는 항원(원인 물질)에 대한 면역 매개형 과민반응입니다.
아나필락시스,알레르기 질환은 알레르기 염증이 나타나는 부위에 따라 나눌 수 있습니다.
아나필락시스,"알레르기 염증이 코 속에 나타나면 비염, 기관지에 나타나면 천식, 피부에 나타나면 아토피 피부염, 두드러기라고 합니다.대부분의 사람에서 문제를 일으키지 않는 원인 물질에 대해 감작이란 과정을 통해 쉽게 과민반응을 일으키는 사람이 있습니다."
아나필락시스,"감작을 통해 혈액 속에 E면역글로불린(IgE) 항체가 만들어지고, 면역세포와 알레르기 염증세포들이 활성화됩니다."
아나필락시스,"그후 같은 원인 물질을 다시 접촉하면 알레르기 반응이 일어납니다.어떤 사람은 알레르기 반응이 신체 여러 부위에 빠르게 퍼져 나가면서 피부도 가렵고, 목안이 붓고, 숨도 차고, 어지럽고, 배가 아프거나 쓰러지기도 합니다."
아나필락시스,이렇게 온몸의 여러 장기에 심한 알레르기 반응이 발생하는 질환을 아나필락시스(anaphylaxis)라고 합니다.
아나필락시스,"알레르기 반응은 주로 원인 물질에 대한 특이 E면역글로불린(IgE) 항체 때문에 시작되지만, G면역글로불린(IgG) 항체, 보체 등 다른 매개체에 의해 발생할 수도 있습니다."
아나필락시스,아나필락시스는 원인 물질에 노출된 후 갑작스럽게 나타나는 심한 전신 알레르기 반응입니다.
아나필락시스,"피부 발진이 생겨 가렵고, 목안과 혀가 부으며(부종) 호흡기, 순환기, 소화기 등 신체의 여러 부위에서 증상이 빠르게 진행해 생명을 위협할 수 있으므로 즉각적인 조치가 필요합니다."
복통,복통은 짧은 시간에 생명에 지장을 줄 수 있는 급성 질환에서 기능장애에 의한 만성 질환까지 다양한 질환에서 나타납니다.
복통,"복통은 주로 복강 내에 있는 위, 소장, 대장, 간, 담낭 및 췌장과 같은 소화기관에서 생기지만, 간혹 심장, 폐, 콩팥, 자궁, 난소 등 복강 외에 위치한 기관에서 유발되기도 합니다."
복통,"복통이 주증상일 때 병력, 신체검진, 일반검사 등에 의해 원인을 먼저 확인한 후 적절한 치료가 이루어집니다."
복통,복통의 원인은 매우 다양합니다.
복통,복통은 복부의 질환 뿐만 아니라 복부 외의 질환에서도 나타날 수 있습니다.
복통,"또한, 전신질환이나 신경계 질환에 의해서도 복통이 발생할 수 있습니다."
복통,전형적인 통증의 경우에는 질병이 발생한 장기 부근에서 발생합니다.
복통,"명치 부근의 통증은 주로 위, 십이지장, 췌장의 질환에 의해 유발됩니다."
복통,"우측 상복부 통증은 담낭이나 십이지장, 췌장, 혹은 우측 대장에 의해 유발됩니다."
복통,"배꼽 근처의 통증은 주로 소장, 대동맥, 혹은 췌장에서 발생한 경우가 많습니다."
복통,"충수염은 충수가 위치해 있는 복부 우측 하방에, 게실염은 게실이 주로 발생하는 복부 우측 또는 좌측 하방에, 담낭에 의한 통증은 복부의 우측 상부에 통증을 유발시킵니다."
소아발진,다양한 질환에 동반되는 피부 발진은 그 자체가 특정 진단명이 아니라 하나의 증상입니다.
소아발진,"발진의 원인은 감염 질환(바이러스, 세균 및 진균[곰팡이] 등), 알레르기 질환, 자극 물질 접촉 등 다양합니다."
소아발진,"소아에서 발진은 비교적 흔하게 관찰되며, 대부분 큰 문제가 되지 않습니다."
소아발진,본 지면에서는 소아에서 감염 질환과 관련된 몇 가지 피부 발진에 대해 살펴보겠습니다.
소아발진,'발진'이란 피부의 정상적인 모습과 달리 피부의 색깔이 변하거나 부어오른 병변을 의미합니다.
소아발진,발진은 특정 질환의 최종 진단명이 아니라 원인 질환의 증상 또는 징후입니다.
소아발진,특징적인 피부 병변이 원인 질환을 진단하는 데 결정적인 단서가 되기도 합니다.
소아발진,"원인 질환을 진단하려면 발진의 양상과 함께, 동반된 다른 증상이나 징후를 확인하고 전체적인 신체 진찰이 기본적으로 필요합니다."
소아발진,"환자의 병력, 최근의 노출력/접촉력(유사한 증상을 보인 사람과 접촉, 동/식물 접촉, 동물 또는 곤충에 물린 경우 등), 약물 복용력, 음식이나 식품 섭취력, 여행력 등을 확인해야 합니다."
소아발진,특히 감염 질환의 발진은 계절성 또는 유행성 질환과 연관되는 경우가 많기 때문에 역학적인 관련성을 파악해야 합니다.
소아발진,"이러한 정보를 종합하여 원인 질환을 추정하고, 확진을 위해 필요한 경우에는 특수 검사를 시행합니다."
소아발진,"감염 질환 관련 피부 발진에서 직접 획득한 검체(수포의 액체, 농포의 고름 등)로 원인균 검사를 시행하기도 합니다."
소아발진,또한 혈액이나 다른 신체 부위에서 얻은 검체를 통해 원인 감염 질환을 확진하기도 합니다.
소아발진,피부 병변의 조직검사가 원인 질환을 진단하는 데 도움이 되는 경우도 있습니다.
대변이상,"대변 이상은 대변의 횟수, 단단한 정도, 대변색이 정상 변과 다른 경우입니다."
대변이상,"영아나 소아에서는 나이와 먹는 음식에 따라 정상 변의 횟수, 굳기, 색깔은 매우 다양합니다."
대변이상,"설사는 대변으로 많은 양의 수분과 전해질이 소실되는 것으로, 변의 횟수가 많고 무른 변이라고 해서 모두 설사는 아닙니다."
대변이상,"대변의 무게를 기준으로 1세 이하 영유아는 하루 체중 kg당 10g 이상, 3세 이상에서는 하루 총량 200g 이상일 때 설사라고 판단하는데, 이런 경우는 얼핏 보아도 설사라는 느낌이 들 정도로 무른 대변을 자주 봅니다."
대변이상,아기가 어릴수록 설사로 인한 수분 소실로 탈수가 진행하여 탈진할 수 있습니다.
대변이상,"설사는 기간에 따라 급성 또는 만성 설사, 모양과 색깔에 따라 수양성, 점액성, 혈성, 혈성 점액성 등으로 구분합니다."
대변이상,소아의 설사는 주로 급성 감염이 원인인 경우가 많습니다.
대변이상,"장에 바이러스, 세균, 기생충 등이 감염되어 설사가 발생하는 것으로 원인에 따라 수양성, 점액성 또는 혈성 점액성 변을 봅니다."
대변이상,어린 아기에서는 감기나 폐렴 다음으로 흔한 병입니다.
대변이상,"로타바이러스, 노로바이러스 등 바이러스 감염에 의한 설사가 많고, 이런 경우 구토와 발열이 함께 나타날 수 있습니다."
대변이상,"증상은 약 3~7일 정도 지속되는데, 그 동안 탈수가 생기지 않도록 하는 것이 중요합니다."
치아외상,"치아외상은 어린이와 청소년기에 가장 흔하게 발생하며, 노년기에는 발생률이 현저하게 낮습니다."
치아외상,"치아외상은 치아에만 국한되기도 하지만, 치아를 지지하는 치주조직(치주인대, 치조골, 치은)의 외상이 종종 동반되기 때문에 정확한 진단, 치료계획 수립 및 경과관찰이 예후에 매우 중요합니다."
치아외상,"치아외상의 원인은 교통사고, 폭행, 운동 등입니다."
치아외상,"어린이는 추락, 충돌 및 여가 활동이 가장 일반적인 원인으로 걷고, 달리며, 신체활동을 왕성히 시작하는 시기에 빈번하게 발생합니다."
습진,"습진(eczema)이란 임상적으로 주로 홍반, 비늘(인설), 진물, 부종을 보이고 만성화되면 피부가 두껍고 거칠어지는 과다각화증, 태선화를 보이는 피부질환을 통칭합니다."
습진,대부분 심한 가려움증이 동반됩니다.
습진,"습진은 피부 염증의 정도와 시기에 따라 급성(acute), 아급성(subacute), 만성(chronic) 습진으로 분류할 수 있습니다."
습진,"급성 습진은 심한 부종, 홍반과 진물이 특징이며, 만성 습진은 피부가 두꺼워지며 각질이 생기는 것이 특징입니다."
습진,아급성 습진은 급성과 만성의 중간 정도로 두 가지 특성이 같이 나타날 수 있습니다.
습진,"습진은 다양한 세부 질환이 있는데 질환마다 원인, 악화 요인, 병변의 발생 부위와 모양 등 임상 양상이 다르며, 치료와 예후도 다릅니다."
습진,"습진은 크게 내인성과 외인성으로 나눕니다. 병의 주원인이 외부 환경에 있으면 외인성, 유전이나 면역학적인 반응 등 내부 과정이 원인이면 내인성이라고 하나 두 가지를 명확히 구분하기는 어렵습니다."
습진,"대표적인 외인성 습진은 접촉피부염이며, 대표적인 내인성 습진은 아토피피부염입니다."
습진,"습진에는 많은 종류가 있으나 여기서는 가장 흔한 접촉피부염, 아토피피부염, 지루피부염, 동전모양습진, 건조피부염에 대해 설명합니다."
급성 간부전,기존에 간질환이 없거나 간질환이 있더라도 간경변은 없던 사람에서 간기능의 급격한 악화로 인하여 26주 이내에 의식 변화(뇌증)와 혈액 응고 장애가 발생한 경우를 급성 간부전으로 정의하고 있습니다.
급성 간부전,급성 간부전의 특징적인 증상은 급격한 의식의 변화와 뇌부종의 발생입니다.
급성 간부전,"이런 증상은 갑작스럽게 간기능이 극도로 저하되면서 간의 해독작용이 떨어져서 나타나며, 심할 경우 수일에서 수주 내에 치명적인 상황에 이릅니다."
급성 간부전,"급성 간부전에서는 간의 단백 합성 기능도 급격하게 저하되어 혈액응고인자를 제대로 만들지 못하게 되므로 출혈 경향이 두드러지게 나타나는데, 이는 간기능이 나빠진 것을 매우 예민하고 신속하게 반영하는 지표입니다."
요통,요통은 병원에 방문하는 사람들의 주요 원인 증상 중에서 다섯 번째 빈도를 차지할 정도로 매우 흔한 질환입니다.
요통,국민건강영양조사에 따르면 20세 이상 성인에서 “요통을 경험한 경우”는 조사 대상 인구 중 15.4%로 나타났으며 만성 요통을 경험한 경우는 5.7%로 나타났습니다.
요통,50세 이상을 대상으로 하는 경우 22.8%에서 3개월 중 1달 이상 요통을 호소하였습니다.
요통,"대부분의 요통은 큰 문제나 합병증을 발생시키지 않는 좋은 경과를 보이지만, 일부는 합병증이나 장애를 유발하는 심각한 질병일 수도 있습니다."
요통,"요통은 다양한 연령층에서 발생될 수 있으며 통증은 허리가 빠질 듯 하게 혹은 끊어질 듯 하게 아픈 증상, 아픔이 다리로 뻗어나가는 듯한 증상 등 다양한 형태로 나타날 수 있습니다."
요통,"요통 환자의 30%는 병원을 찾지 않지만, 70%는 결국 병원을 방문할 정도로 심한 증상을 나타냅니다."
요통,"급성 요통 환자의 90%는 3개월 이내에 직장에 복귀하지만, 많은 경우 증상이 재발하고 기능적 장애를 경험합니다."
요통,"따라서 심한 통증이 있을 때에는 진통제를 복용하고, 그래도 통증이 지속되거나 악화될 경우에는 병원을 방문하여 적절한 진단과 치료를 받는 것이 좋습니다."
물에 빠짐,"익수 사고는 유아부터 성인까지 세 번에 걸쳐 급증기가 있는데, 그 중 5세 이하에서 가장 많이 발생하고, 두번째는 15세~24세에서 많이 발생하며 마지막으로 노인층에서 빈도가 증가하는 것으로 알려져 있습니다."
물에 빠짐,유아기 때에는 수영장이나 개방된 물가뿐만 아니라 욕조나 양동이에 빠져서 발생하는 경우도 있기 때문에 가정에서도 주의해야 합니다.
물에 빠짐,노인에서는 장애나 기저질환으로 인해 욕조에서 익수 사고가 발생할 수 있습니다.
물에 빠짐,"그 밖에도 최근 생활 환경의 변화와 다양한 수상 레저스포츠가 보급됨에 따라 다양한 연령층이 물에 빠지는 경우가 많고, 특히 젊은 연령층에서 그 사고 발생 빈도가 점차 증가하고 있습니다."
물에 빠짐,"우리나라 30세 미만 사고 손상에 의한 사망 중 물에 빠짐은 2, 3위를 차지하는 것으로 알려져 있고, 이는 외국 보고 자료에서와 유사한 사망 순위 분포를 보이고 있습니다."
물에 빠짐,"더욱이 최근에 수상 레저스포츠 활동이 다양해지고, 수영을 하지 못하는 사람들마저 기구를 이용하여 수상 여가활동을 참여하는 등 많은 사람이 수상 여가활동에 몰리고 있어 불의의 수상사고가 발생할 가능성은 항상 잠재해 있습니다."
물에 빠짐,"또한, 최근 경기 침체와 자살률 증가에 따라 의도적으로 물에 빠지는 사고가 급격하게 증가하고 있습니다."
물에 빠짐,"이전에는 대다수 물에 빠지는 사고가 청소년층에 집중되어 있는 경향이 있었는데, 현재에는 중장년층까지 다양한 연령층으로 확대되는 변화를 가져오고 있습니다."
물에 빠짐,"익수 사고는 유아부터 성인까지 세 번에 걸쳐 급증기가 있는데, 그 중 5세 이하에서 가장 많이 발생하고, 두번째는 15세~24세에서 많이 발생하며 마지막으로 노인층에서 빈도가 증가하는 것으로 알려져 있습니다."
물에 빠짐,유아기 때에는 수영장이나 개방된 물가뿐만 아니라 욕조나 양동이에 빠져서 발생하는 경우도 있기 때문에 가정에서도 주의해야 합니다.
물에 빠짐,노인에서는 장애나 기저질환으로 인해 욕조에서 익수 사고가 발생할 수 있습니다.
물에 빠짐,"그 밖에도 최근 생활 환경의 변화와 다양한 수상 레저스포츠가 보급됨에 따라 다양한 연령층이 물에 빠지는 경우가 많고, 특히 젊은 연령층에서 그 사고 발생 빈도가 점차 증가하고 있습니다."
물에 빠짐,"우리나라 30세 미만 사고 손상에 의한 사망 중 물에 빠짐은 2, 3위를 차지하는 것으로 알려져 있고, 이는 외국 보고 자료에서와 유사한 사망 순위 분포를 보이고 있습니다."
물에 빠짐,"더욱이 최근에 수상 레저스포츠 활동이 다양해지고, 수영을 하지 못하는 사람들마저 기구를 이용하여 수상 여가활동을 참여하는 등 많은 사람이 수상 여가활동에 몰리고 있어 불의의 수상사고가 발생할 가능성은 항상 잠재해 있습니다."
물에 빠짐,"또한, 최근 경기 침체와 자살률 증가에 따라 의도적으로 물에 빠지는 사고가 급격하게 증가하고 있습니다."
물에 빠짐,"이전에는 대다수 물에 빠지는 사고가 청소년층에 집중되어 있는 경향이 있었는데, 현재에는 중장년층까지 다양한 연령층으로 확대되는 변화를 가져오고 있습니다."
동물 및 곤충에 의한 응급상황,동물이나 곤충에 물려서 피부에 직접적인 손상을 입은 경우를 교상이라고 합니다.
동물 및 곤충에 의한 응급상황,교상에 의한 상처는 크기가 작더라도 뾰족한 이빨과 독침에 의한 상처이기 때문에 좁고 깊을 수 있습니다.
동물 및 곤충에 의한 응급상황,"특히 개나 동물 입안에 있는 세균이나 바이러스에 노출 후 예방이 필요한 광견병(공수병), 세균 감염, 파상풍과 독성 반응에 의한 중독, 쇼크 등의 응급처치가 중요합니다."
실신,"정신을 잃고 쓰러지는 경험은, 겪는 사람에게는 매우 두렵고, 이를 목격하는 사람에게도 매우 당황스러운 일입니다."
실신,"정상적인 상태에서는 혈압과 맥박이 너무 떨어지지 않도록 우리의 심장과 혈관, 자율신경과 뇌가 작동합니다."
실신,"하지만 실신의 경우, 혈압이 순간적으로 많이 떨어져서 뇌로 올라가는 혈액의 양이 줄어들면서 정신을 잃고 힘없이 쓰러집니다."
실신,"평소에는 정상 수축기 혈압이 120 mmHg이지만, 실신이 발생하는 경우에는 50~60 mmHg정도로 낮아집니다."
실신,"대개는 짧은 순간에 뇌로 가는 혈액이 원래대로 회복되기 때문에, 바로 의식이 돌아옵니다."
실신,"일반적으로 기절, 졸도, 실신으로 부르지만, 정확한 의학 용어는 실신입니다."
실신,"실신이라는 것은 단순히 넘어지는 것이 아니고, 정신을 잃으면서 넘어지는 현상인데, 실신과 비슷한 여러 가지 상황이 있습니다."
실신,"실신은 대개 정신을 잃고 쓰러지기 전에 어지러움, 이명, 시야가 좁아지거나 어둡게 되는 느낌이 발생합니다."
실신,이것이 뇌에 혈액이 부족해지고 있다는 신호입니다.
실신,하지만 쓰러지면서 머리에 충격이 있는 경우에는 직전 증상을 기억하지 못할 수 있습니다.
실신,직전 증상이 매우 짧거나 직전 증상 없이 쓰러지는 경우도 있습니다.
실신,"또, 힘없이 쓰러지지 않고, 쓰러진 상태에서 경련이 나타나는 경우도 있습니다."
실신,"실신과 구별해야 하는 중요한 질환으로는, 뇌전증 발작, 일과성뇌허혈(뇌혈관 질환), 정신 질환에 의한 가성실신 등이 있습니다."
실신,"흔하지는 않으나, 정신을 잃고 쓰러지면서 몸이 뻣뻣해지면서 부들부들 떠는 경우에는 뇌전증 발작 가능성이 있습니다."
실신,뇌전증 발작은 실신보다 의식이 돌아오는데 시간이 오래 걸립니다.
실신,"1분 이상 의식이 돌아오지 않는다면, 뇌전증 발작에 대한 검사도 필요합니다."
실신,"하지만 실신의 경우도 경련을 함께 보이는 경우가 있어서, 자세한 검사를 통해서 구별해야 합니다."
실신,뇌졸중(중풍)같은 뇌혈관의 문제때문에 의식을 잃는 경우는 더 드뭅니다.
실신,"의식 소실이 오래 가거나 한쪽으로 더 심한 팔, 다리의 마비가 같이 나타나거나, 말이 어눌해지는 증상이 동반되는 경우 의심할 수 있습니다."
실신,"뇌혈관 위험인자, 즉 고혈압, 당뇨병, 흡연 등의 위험인자를 가지고 있는 분들에게서 의심할 수 있습니다."
실신,"가성실신은 갑자기 쓰러지고 의식이 없는 것처럼 보이지만, 반복적으로 검사를 해도, 혈압의 변화가 없고 스트레스 등의 심리적인 문제가 함께 있다는 점이 특징입니다."
실신,일생동안 실신을 경험하는 사람은 약 40%정도 됩니다.
실신,"이 중 대다수는 한번만 실신을 경험하지만, 약 15%에서는 반복적으로 발생합니다."
실신,"특히 여성, 어르신, 심장 질환이 있는 사람의 경우 더 잘 재발합니다."
실신,실신으로 쓰러지는 사람 중 20%가 외상을 입습니다.
실신,"실신의 원인도 중요하지만 실신의 결과로 머리를 포함해서 신체를 크게 다칠 수 있기 때문에, 실신환자의 골절과 뇌 외상, 뇌출혈 등도 잘 확인하고 치료해야 합니다."
실신,"정신을 잃고 쓰러져도, 바로 회복이 되기 때문에 대수롭지 않게 생각하고 진료를 받지 않는 경우가 있습니다."
실신,"하지만, 실신의 원인에 따라서는 재발 위험이 커서 치료가 필요합니다."
실신,"특히 실신 직전 증상(기절할 것 같은 느낌, 어지러움, 이명, 시야가 좁아지거나 어둡게 되는 증상)만 있다가 바로 회복되는 경우에도, 언젠가는 완전히 쓰러질 수 있는 위험 신호입니다."
실신,"따라서, 완전히 쓰러지지 않더라도 증상이 비슷하다면 정확한 원인에 대한 진단이 필요합니다."
두근거림,두근거림은 심장의 박동이 빠르거나 불규칙할 때 느끼는 증상입니다.
두근거림,의학용어로는 ‘심계항진’이라고 합니다.
두근거림,이 증상은 심장에 문제가 있는 경우가 흔합니다.
두근거림,"하지만 감정적으로 흥분하거나 불안할 때, 심한 운동을 할 때, 혹은 커피같은 카페인이 들어간 음료를 과다하게 섭취할 때 발생하기도 합니다."
두근거림,따라서 두근거림이 있을 때는 심장이 원인인지 혹은 다른 원인이 있는지 확인해야 합니다.
두근거림,"대부분은 건강에 큰 문제가 없지만 경우에 따라서는 사망에 이를 수도 있으므로, 두근거림의 정확한 원인이 무엇인지 확실히 확인하고 조치해야 합니다."
두근거림,신체적 원인은 정상적으로 발생하는 생리적 원인과 특정한 질병에서 동반되는 병적 원인으로 구분할 수 있습니다.
두근거림,운동을 할 때 발생하는 두근거림은 대표적인 생리적 원인입니다.
두근거림,임산부나 폐경 후 갱년기 증상으로 발생하는 두근거림도 생리적 원인 중 하나입니다.
두근거림,이렇게 질병이 없는 상태에서 발생하는 두근거림을 ‘생리적인 두근거림’이라고 합니다.
두근거림,이런 경우는 두근거림이 건강에 큰 문제를 일으키지 않습니다.
두통,두통은 전체 인구의 70~80%가 경험하는 매우 흔한 증상입니다.
두통,"두통이 생기면 많은 사람들이 혹시 뇌에 문제가 생긴 게 아닐까 염려하기도 하지만, 실제로 심각한 질병이 원인인 경우는 드뭅니다."
두통,두통은 크게 다른 원인 없이 생기는 원발두통과 다른 질환에 의해 일어나는 이차두통으로 나눕니다.
두통,"원발두통에는 긴장두통, 편두통 및 군발두통이 있고, 이차두통에는 머리나 목의 외상이나 질병에 의한 두통과 약물을 너무 많이 복용했거나(과용) 또는 약물의 갑작스러운 중지로 인한(금단) 두통 등이 있습니다."
두통,여기에서는 주로 원발두통 위주로 설명하겠습니다.
두통,"긴장두통이 일어나는 기전은 명확히 밝혀지지는 않았지만, 머리 주변의 통증 감각이 예민해지고 근육이 긴장되어 있고 누르면 통증이 발생하는 것을 볼 수 있습니다."
두통,"편두통의 경우, 편두통이 없는 사람의 뇌에 비하여 쉽게 흥분할 수 있는 소위 '예민한 뇌'를 가지고 있는데 갑작스러운 신체 내부 또는 외부 환경의 변화로 뇌가 자극되어 흥분하면 이에 반응하여 뇌혈관이 팽창하고 이에 따라 삼차 신경계가 자극되면서 두통이 발생한다고 보고 있습니다."
두통,"군발두통이 왜 생기는지 역시 아직 정확히 알려지지 않았지만, 뇌에서 조절되는 생활 리듬 이상, 뇌혈관의 장애, 뇌 신경전달물질인 세로토닌, 히스타민과 관련되어 있을 것으로 여겨집니다."
소변이상,"혈뇨란 소변에 피가 섞여 나온다는 뜻으로, 소변이 육안으로 붉게 보일 수 있지만(육안적 혈뇨), 혈뇨의 양이 작은 경우에는 현미경으로 소변을 관찰해야만 발견되기도 합니다(현미경적 혈뇨)."
소변이상,현미경적 혈뇨라도 심각한 질환의 초기 증세 일수도 있으므로 혈뇨가 의심될 경우 병원에 내원해야 합니다.
소변이상,"소변이 적색이라고, 모두 혈뇨인 것은 아닙니다."
소변이상,예를 들어 농축된 소변은 붉게 보일 때가 있습니다.
소변이상,붉은색의 음식물이 붉은빛 소변을 만드는 경우도 있습니다.
소변이상,갑자기 과격한 운동을 한 후 근육이 녹는 횡문근 융해증이 있을 때도 적색뇨를 보일 수 있습니다.
소변이상,"또, 일부 약은 복용한 후에 대사물질이 소변으로 빠져나오면서 소변 색깔이 붉은 색을 띨 수 있습니다."
소변이상,이렇게 적색이지만 혈뇨가 아닌 경우는 진단과 치료가 완전히 다르기 때문에 혈뇨와 구분할 필요가 있습니다.
소변이상,"혈뇨란 소변에 비정상적인 양의 적혈구가 섞여 나오는 질환을 말하며, 현미경으로 소변검사를 해서 적혈구가 고배율에서 3개 이상 나오면 혈뇨로 진단합니다."
소변이상,만약 적혈구가 소변에 많이 존재한다면 소변 색깔이 선홍색이나 핑크색 또는 콜라색으로 보일 수도 있습니다.
소변이상,"적색뇨이지만, 혈뇨가 아닌 경우도 있기 때문에, 혈뇨 여부를 구분하기 위하여 소변검사가 필요합니다."
저체온증,"저체온증이 사람에게 미치는 해로운 영향에 대해서는 수세기 동안 언급되어 왔는데, 주로 역사적인 전쟁의 경험에서 비롯되었습니다."
저체온증,가장 초기에 기록되어 있는 자료는 1812년 나폴레옹의 러시아 원정에서 나폴레옹의 주치의였던 Baron de Larrey에 의한 것입니다.
저체온증,그는 러시아의 혹독한 추위에 노출된 프랑스 병사들의 의식장애와 신체적인 어려움을 기술하였습니다.
저체온증,"특히 모닥불에 가장 가까이에서 치료받던 저체온증 환자들이 상대적으로 사망률이 높다고 기록하고, 이는 반복적으로 냉동과 해동의 과정을 거치며 조직의 손상을 더 악화시키는 것으로 분석하여, 모닥불 옆에서 빠르게 몸을 덥히는 과정을 지양하고 눈으로 사지를 문질러 천천히 가온시키는 방법을 유행처럼 사용하게 하는 근거가 되었습니다."
저체온증,그러나 이 방법은 1956년 중증의 저체온증 환자에게 신속한 가온을 시켜 성공적인 소생을 시키는 증례가 발표됨으로써 더 이상 추천되지는 않고 있습니다.
저체온증,"이 밖에도 1777년 조지 워싱턴 장군의 군대가 겨울 추위로 인해 군대병력의 10%를 잃었다는 기록과 제2차 세계 대전시 독일연합군의 20만 명의 병력이 추위와 동상으로 부상을 당하거나 사망을 했다는 기록이 있으며, 한국전에서 미국군의 총 사망병력의 10%가 추위 때문이었다는 기록 등이 보고되고 있습니다."
저체온증,"1970년도부터 1979년까지 미국의 통계에 따르면 10년간 저체온증으로 인한 사망이 4,826건으로 이들의 평균나이는 50대이고, 가장 흔한 유발요인은 음주, 영양결핍, 적절치 못한 주거 공간이라고 보고되었습니다."
저체온증,"특히 도시에서는 노숙인들이 적절하지 못한 주거환경으로 인해 저체온증으로 사망하는 일이 흔히 발생하며, 평균기온이 따뜻한 지방임에도 불구하고 플로리다, 텍사스, 알라바마, 캘리포니아에서도 저체온증으로 인한 사망자들이 매년 상당수 보고되고 있습니다."
구토,구역질(오심)과 구토는 흔하게 나타나는 증상으로 다양한 이유로 인해 발생됩니다.
구토,"일반적으로 4주 이상 지속되는 구역질과 구토를 만성 구역질 및 구토로 보며, 급성 구역질 및 구토는 대부분 7일 이내의 증상을 말합니다."
구토,"구역질(오심)이란 토할 것 같은 불쾌한 느낌, 메스꺼움 등으로 가슴 답답함, 침분비 증가, 식은 땀 등이 함께 나타날 수 있습니다."
구토,"구역질은 구토, 소화불량 등의 여러 위장 증상과 함께 생기기도 하고, 단독으로 생기기도 합니다."
구토,"구토는 횡격막과 복부 근육이 수축하면서 상부 위장관(식도, 위, 십이지장)의 음식이나 위액이 강제로 입 밖으로 나오는 것입니다."
성폭력,"성폭력이란 강간이나, 강제추행뿐만 아니라 언어적 성희롱, 음란성 메시지 및 몰래카메라 등 상대방의 의사에 반해서 가해지는 모든 신체적, 정신적 폭력을 포함합니다."
성폭력,"강간의 정의는 그 사회의 법률이 정하는 바에 따라 달라질 수 있으나, 일반적으로 아래와 같은 세 가지 내용을 포함합니다."
성폭력,"추행은 성욕의 흥분, 또는 만족을 얻을 동기로 행하여진 정상의 성적인 수치 감정을 심히 해치는 성질을 가진 행위를 말합니다."
성폭력,"이 행위는 남녀, 연령 여하를 불문하고 그 행위가 범인의 성욕을 자극, 흥분시키거나 만족시킨다는 성적 의도 하에 행해짐을 필요로 합니다."
성폭력,"성희롱은 업무, 고용, 그 밖의 관계에서 공공기관의 종사자, 사용자 또는 근로자가 그 직위를 이용하여 또는 업무 등과 관련해 성적 언동 등으로 성적 굴욕감 또는 혐오감을 느끼게 하거나 성적 언동 또는 그 밖의 요구 등에 대한 불응을 이유로 고용상의 불이익을 주는 행위를 말합니다."
성폭력,"우리나라의 형법상 강간은 부녀자에게 행해진 성기 삽입이 이루어진 성관계로 제한되어 있어, 가해자의 법적인 처벌에 있어 문제점이 지적되어 왔습니다."
성폭력,"그러나 2013년 6월 19일 시행된 형법 개정안에서는 강간의 주체를 ‘부녀’에서 ‘사람’으로 정의하여, 남성도 강간의 피해자가 될 수 있음을 인정하고 있으며, 구강, 항문 등 신체의 내부에 성기를 넣거나 성기, 항문에 손가락 등 신체의 일부 또는 도구를 넣는 행위도 유사강간의 범위에, 폭행이나 협박 없이 술이나 잠, 약물 등으로 사물을 변별하거나 의사를 결정할 능력이 없는 상태에서 간음이나 추행을 한 행위는 준강간, 준강제추행으로 포함시켜 기존의 문제점을 개선하고자 하는 노력이 이루어지고 있습니다."
설사,설사는 비정상적으로 묽은 변이 배출되는 것으로 평상시보다 묽은 변이 하루에 200g이상 배출되거나 배출의 빈도가 하루 3회 이상을 초과하는 경우로 정의하고 있습니다.
설사,"이러한 설사는 세균이나 박테리아에 의한 급성 염증으로 발생할 수도 있으나 염증성 장질환 등 만성염증에 의해서도 발생하며, 항암치료, 방사선 치료 후에도 발생할 수 있고, 유당 불내증이나 식사요인에 의해서도 발생할 수 있습니다."
설사,"특별한 다른 이유 없이 최소 3개월 이상의 설사가 지속되면 기능성 설사라고 하는데, 과민성 장증후군의 설사형이 대표적인 기능성 설사에 속합니다."
설사,"기간에 따라 14일 이내이면 급성 설사, 14-30일이면 지속성 설사, 30일을 초과하면 만성 설사로 구분합니다."
